row_index,doc_id,question,answer,true_label,predicted_label,verdict,entailment_score,neutral_score,contradiction_score,max_similarity,retrieved_context,is_correct,error_type,verdict_detail
10,bosch_oven.pdf,What crucial electrical safety step must be taken before attempting to replace the oven bulb?,"Before replacing the bulb, unplug the appliance from the mains or switch off the circuit breaker in the fuse box for at least 5 minutes.",1,1,UNCERTAIN,0.5859,0.0092,0.405,0.7948,"cables replaced by one of our trained after-sales technicians. If the appliance is defective, unplug the appliance from the mains or switch off the circuit breaker in the fuse box. Contact the after- sales service. Risk of electric shock and serious injury! ■ The cable insulation on electrical appliances may melt when touching hot parts of the appliance. Never bring electrical appliance cables into contact with hot parts of the appliance. Risk of electric shock! ■ Do not use any high-pressure cl",True,TP,UNCERTAIN_LEANING_GROUNDED
11,apple_watch.pdf,What are the steps to unpair my Apple Watch from my iPhone?,"1. Open the Apple Watch app on your iPhone.\n2. Tap My Watch, then tap All Watches at the top of the screen.\n3. Tap next to the Apple Watch you want to unpair, then tap Unpair Apple Watch.",0,0,GROUNDED,0.9672,0.0018,0.031,0.9447,"Apple Watch User Guide Unpair Apple Watch 1. Open the Apple Watch app on your iPhone. 2. Tap My Watch, then tap All Watches at the top of the screen. 3. Tap next to the Apple Watch you want to unpair, then tap Unpair Apple Watch. Pair more than one Apple Watch You can pair another Apple Watch in the same way you paired your first one. Bring your iPhone near your Apple Watch, wait for the Apple Watch pairing screen to appear on your iPhone, then tap Pair. Or follow these steps: 1. Open the Apple ",True,TN,GROUNDED
12,nintendo_2ds_xl.pdf,What happens if the system is exposed to extreme temperatures?,The liquid crystal displays (LCD) may become slower or may not work when the temperature is low. The LCD will deteriorate at a high temperature.,0,0,GROUNDED,0.9933,0.0012,0.0055,0.8854,"extreme heat or cold. The liquid crystal dis- plays (LCD) may become slower or may not work when the temperature is low. The LCD will deteriorate at a high temperature. Take care not to expose the system to direct sunlight for extended periods of time. 8. The LCD screens may be damaged by sharp objects or pressure. Take care to protect the displays from scratches or stains. 9. To minimize the risk of damage to the system, connect only accessories designed and licensed for use with the system to ",True,TN,GROUNDED
13,bosch_oven.pdf,What is the specified minimum distance that wearers of electronic implants must maintain from the control panel due to permanent magnets?,at least 10 cm,0,0,GROUNDED,0.9942,0.0012,0.0046,0.7186,"in the control elements. They may affect electronic implants, e.g. heart pacemakers or insulin pumps. Wearers of electronic implants must stay at least 10 cm away from the control panel. Halogen lamp :Warning – Risk of electric shock! When replacing the cooking compartment bulb, the bulb socket contacts are live. Before replacing the bulb, unplug the appliance from the mains or switch off the circuit breaker in the fuse box. Cleaning function :Warning – Risk of burns! ; The appliance will become",True,TN,GROUNDED
14,nintendo_2ds_xl.pdf,What are the first three steps for the initial system configuration after selecting a language?,"1 First a notification about the system is displayed. After verifying it, touch Ok and proceed.\n\n\n2 Set the date and time.\n\n\n3 Use the keyboard to enter a nickname or user name (page 18).",0,0,GROUNDED,0.9483,0.0048,0.0469,0.7833,"After verifying it, touch Ok and proceed. Set the date and time. Tap the arrows to adjust the settings, then tap OK to confirm and move to the next option. Power LED Power Button Power On/Off and Basic Configuration Power On/Off and Basic Configuration Power On/Off and Basic Configuration Use the keyboard to enter a nickname or user name (page 18). You can enter up to 10 characters. Remember that other people using systems in the Nintendo 3DS family will see your nickname when interacting with t",True,TN,GROUNDED
15,makita_drill.pdf,How heavy is the drill with the standard battery?,1.5 kg (3.4 lbs),0,0,GROUNDED,0.975,0.0025,0.0225,0.7474,"neto 1,5 kg (3,4 lbs) 1,8 kg (3,9 lbs) • Debido a nuestro continuo programa de investigación y desarrollo, las especificaciones aquí incluidas están sujetas a cambio sin previo aviso. • Las especificaciones y el cartucho de batería pueden variar de país a país. • Peso de acuerdo al procedimiento de EPTA-01/2003 incluyendo el cartucho de batería ADVERTENCIAS DE SEGURIDAD Advertencias generales de seguridad para herramientas eléctricas ADVERTENCIA: Lea todas las advertencias de seguridad e instruc",True,TN,GROUNDED
16,spot_boston_dynamics.pdf,What is the 3-step process for turning on motor power?,"1. Ensure that no person is within 1.5m of Spot.
2. Announce loudly: “Power on Spot.”
3. Turn on motor power using on-screen instructions in controller app.",1,1,UNCERTAIN,0.8627,0.0061,0.1312,0.8267,"TURNING ON MOTORS Before turning on motors, release lockout button. Button light will pulse red. Turn on motor power: 1. Ensure that no person is within 2m of Spot. 2. Announce loudly: “Power on Spot.” 3. Turn on motor power using on-screen instructions in controller app. CAUTION: Emergency Stop makes robot collapse. Emergency stopping Spot on stairs is dangerous. Robot will collapse and may fall down stairs. Never stand below a robot on stairs. If Spot trips or is stopped it will fall down stai",True,TP,UNCERTAIN_LEANING_GROUNDED
17,dewalt_saw.pdf,Identify component 6 as labelled in Figure A.,Bevel adjustment lever,0,0,GROUNDED,0.9803,0.0024,0.0173,0.7756,"moving blade fall to the right of the indicator. Guide along the penciled cutting line so that the kerf falls into the waste or surplus material. Cut Length Indicator (Fig. K) The markings on the side of the foot plate show the length of the slot being cut into the material at the full depth of the cut. The markings are in increments of 1/8"" (3.2 mm). Bevel Angle Adjustment (Fig. A, H) The full range of the bevel adjustment is from 0° to 57°. The quadrant is graduated in increments of 1°. On the",True,TN,GROUNDED
18,electrolux_oven.pdf,What accessories are included with the oven in the grill set?,The grill set consists of grill and baking pan.,1,1,UNCERTAIN,0.8418,0.0069,0.1513,0.8099,operating the oven electrolux 17 Grill set The grill set consists of grill and roasting pan. The grill can used on both sides. Warning: There is a risk of burning when removing the rosting pan from the hot oven! Inserting the grill tray underneath: The grill tray rests in the roasting pan. Push the roasting pan between the guide bars of the selected oven level. For roasting larger joints of meat or poultry on one oven shelf. Inserting the grill tray on top: The grill tray rests on the roasting p,True,TP,UNCERTAIN_LEANING_GROUNDED
19,apple_watch.pdf,What type of cloth should be used to clean the Apple Watch?,"abrasive, lint-free cloth",1,1,HALLUCINATION,0.3527,0.0033,0.644,0.8811,"water (if necessary). After cleaning, let the band air dry thoroughly before re-attaching to Apple Watch. Don’t store leather bands in direct sunlight, at high temperatures, or in high humidity. Don’t soak leather bands in water. Leather bands are not water resistant. For all other bands and clasps, wipe them clean with a nonabrasive, lint-free cloth, lightly dampened with fresh water (if necessary). Dry the band thoroughly with a nonabrasive, lint- free cloth before re-attaching to Apple Watch.",True,TP,HALLUCINATION
20,dyson_v12.pdf,What crucial safety instruction relates to the trigger and potential sharp objects when inspecting for blockages?,Be careful to touch the trigger and be aware of blunt objects.,1,1,UNCERTAIN,0.0,1.0,0.0,0.6962971687316895,[UNSUPPORTED] max_sim=0.696 < threshold=0.7,True,TP,UNCERTAIN
21,electrolux_oven.pdf,What is the potential consequence of lining the oven with aluminium foil?,the heat that builds up will discolor the oven coating.,1,0,GROUNDED,0.9024,0.0243,0.0733,0.8166,"6 electrolux safety instructions How to avoid damage to the appliance • Do not line the oven with aluminium foil and do not place baking trays, pots, etc. on the oven floor, as the heat that builds up will damage the oven enamel. • Fruit juices dripping from the baking tray will leave stains, which you will not be able to remove. For very moist cakes, use a deep tray. • Do not put any strain on the oven door when open. • Never pour water directly into the oven when it is hot. This could cause da",False,FN,GROUNDED
22,spot_boston_dynamics.pdf,Where is the State of Charge (SOC) button?,located on the power port,1,1,UNCERTAIN,0.7847,0.0077,0.2077,0.8517,connect the charger to a standalone battery. The charger light will blink green while the battery is being charged and switch to solid green when the battery is fully charged. Charging a battery in Spot Use the shore power cable to connect the charger to the robot and charge a battery in Spot. Carefully insert the charging cable into the charging port at the back of Spot shown on page 5. The battery will begin charging regardless of whether Spot’s computers are powered on or off. The motors will,True,TP,UNCERTAIN_LEANING_GROUNDED
23,dyson_v12.pdf,What is the correct procedure for re-installing the Laser Slim Fluffy™ brush bar after cleaning and drying?,Reattach the end cap to your brush bar.\n\nSlide your brush bar into the cleaner head. Push the end cap back down to\nthe closed position.,0,0,GROUNDED,0.9904,0.0017,0.0079,0.8802,"release button on the end of the wand. Place the cleaner head upside down. Push the end cap up fully and pull the brush bar out of the cleaner head. Hold your brush bar under running water and gently rub to remove any lint or dirt. Stand your brush bar upright as shown. Leave to dry completely for at least 24 hours. Before replacing, check that your brush bar is completely dry. Reattach the end cap to your brush bar. Slide your brush bar into the cleaner head. Push the end cap back down to the c",True,TN,GROUNDED
24,laptop_lenovo_tc_x1.pdf,My computer is beeping many times before Windows starts. What could be the cause?,Ensure that no mouse buttons are stuck.,1,1,UNCERTAIN,0.6282,0.006,0.3658,0.8026,"more information, see “Changing the startup device sequence permanently” on page 32. The computer beeps multiple times before the operating system starts up Solution: Ensure that no keys are stuck. Audio problems This section provides solutions to audio-related problems. No audio in Windows Solutions: • If you are using powered external speakers that have an On/Off control, ensure that: – The On/Off control is set to the On position. – The speaker power cable is connected to a properly grounded,",True,TP,UNCERTAIN_LEANING_GROUNDED
25,makita_drill.pdf,What is the rated voltage for the XFD12 model?,D.C. 18 V,0,0,GROUNDED,0.9799,0.0013,0.0188,0.7029,"ENGLISH ENGLISH (Original instructions) SPECIFICATIONS Model: XFD12 Drilling capacities Steel 13 mm (1/2"") Wood 38 mm (1-1/2"") Fastening capacities Wood screw 10 mm x 90 mm (3/8"" x 3-1/2"") Machine screw M6 (1/4"") No load speed (RPM) High (2) 0 - 2,000 /min Low (1) 0 - 500 /min Overall length 172 mm (6-3/4"") Rated voltage D.C. 18 V Standard battery cartridge BL1815N, BL1820B BL1830, BL1830B, BL1840B, BL1850B, BL1860B Net weight 1.5 kg (3.4 lbs) 1.8 kg (3.9 lbs) • Due to our continuing program of ",True,TN,GROUNDED
26,bosch_oven.pdf,"How is the ""EcoClean Direct"" cleaning function initiated on this oven?","1. Touch the u field.
2. Confirm using the l Start/Stop button.
A note appears relating to the preparations required
for the cleaning function.
3. Press the l Start/Stop button twice to start.",1,1,HALLUCINATION,0.2665,0.0051,0.7283,0.8664,"appears on the display. Example in the picture: Hot air eco . at 195 °C. 1. Set the type of heating using the rotary selector. 2. Touch the } field. The temperature is highlighted white in the display. 3. Set the temperature using the rotary selector. 4. Press the l Start/Stop button to start. The time on the display shows how long the operation has already been running. The appliance begins to heat up. When your dish is ready, switch off the appliance using the ÿ On/Off button. Note: You can se",True,TP,HALLUCINATION
27,dyson_v12.pdf,What should I use to clean the dust bin?,a wet sponge,1,1,HALLUCINATION,0.2592,0.0216,0.7192,0.7762,"base click into place. Your bin isn’t dishwasher safe and the use of detergents, polishes or air fresheners to clean your bin isn’t recommended, as it may damage your machine. The MAX mark on the bin of the machine, showing that the dirt should not be filled over the Max mark when the machine is at the angle of normal use. Illustration of the bin being emptied into a bag with imag- not to press the trigger when emptying the bin. The bin lid closing with an audible click and the bin being pushed ",True,TP,HALLUCINATION
28,nintendo_2ds_xl.pdf,Why aren't my steps being counted?,"If your system is tilted, it cannot count steps. Steps are only counted when both the power is on and the system is held upright.",1,1,UNCERTAIN,0.8811,0.0066,0.1123,0.7838,"is closed. • If you carry your system in a bag that is not closely connected to your body or case as you walk, it cannot accurately count your steps. The step numbers will be counted more accurately if you carry your system in a bag connected to your waist (such as a hip pouch). The microSD Card functions don’t seem to work. • Check to make sure the microSD Card is installed correctly (page 50). • Check the contacts on the microSD card for dirty or contamination. If necessary, gently clean them ",True,TP,UNCERTAIN_LEANING_GROUNDED
29,tesla_model_s.pdf,What type of battery is needed for the key fob replacement?,CR2330,0,0,GROUNDED,0.9849,0.0016,0.0135,0.8533,"touchscreen. To replace the key fob battery: 1. With the key fob placed button side down on a soft surface, release the bottom cover, using a small flat- bladed tool. 2. Remove the battery by lifting it away from the retaining clips. 3. While avoiding touching the battery's flat surfaces, insert the new battery (type CR2330) with the ‘+’ side facing up. NOTE: Wipe the battery clean before fitting and avoid touching the battery's flat surfaces. Finger marks on the flat surfaces of the battery can",True,TN,GROUNDED
30,prusa_3d-printer.pdf,What might happen if I accidentally release the end of the filament?,"If you accidentally release the end of the filament, it can easily tangle and knot.",0,0,GROUNDED,0.9953,0.0013,0.0034,0.8362,"another tool. Some materials may emit a strong odor when printing - regularly ventilate the room. Handle the filament according to the instructions on the following pages of the handbook. Always ensure the end of the filament is properly secured—either inserted into the extruder or threaded through the spool hole. If you accidentally release the end of the filament, it can easily tangle and knot.",True,TN,GROUNDED
31,laptop_lenovo_tc_x1.pdf,What can I install if I have insufficient free memory space?,additional memory modules,0,0,GROUNDED,0.9937,0.0017,0.0047,0.7556,"2. View Control Panel using large icons or small icons, and then click Programs and Features. 3. Do one of the following: – To turn some Windows features off, click Turn Windows features on or off. Follow the instructions on the screen. – To remove some unnecessary programs, select the program you want to remove, and then click Uninstall/Change or Uninstall. Insufficient free memory space Solutions: • Right-click a blank area on the taskbar and open Task Manager. Then, end some tasks you are not",True,TN,GROUNDED
32,dewalt_saw.pdf,What are the steps to replace a worn blade on the circular saw?,"1. To loosen the blade clamping screw 10, depress the blade\nlock 3 and turn the saw spindle with the blade wrench 15,\nstored underneath the main handle 2, until the blade lock\nengages and the blade stops rotating. With the blade lock\nengaged, turn the blade clamping screw counterclockwise\nwith",0,0,GROUNDED,0.9502,0.0027,0.0471,0.9321,"lock 3 and turn the saw spindle with the blade wrench 15 , stored underneath the main handle 2 , until the blade lock engages and the blade stops rotating. With the blade lock engaged, turn the blade clamping screw counterclockwise with the blade wrench (screw has right-hand threads and must be turned counterclockwise to loosen). 2. Remove the blade clamping screw 10 and outer clamp washer 14 . Remove old blade. 3. Clean any sawdust that may have accumulated in the guard or clamp washer area and",True,TN,GROUNDED
33,electrolux_oven.pdf,What should be used to clean the external metal front of the oven?,"For metal fronts, use normal commer- cially available cleaning agents.",0,0,GROUNDED,0.9951,0.0012,0.0037,0.8005,"liquid and warm water. • With metal fronts use the cleaners that are commercially available. Oven Interior Oven lighting You can switch on the oven light to make cleaning easier. Cleaning The walls that have a catalytic coating are self-cleaning. They absorb splashes of fat while the oven is in use. To support this self-cleaning process, we recommend heating the oven with­ out any food at regular intervals. 1. Remove all slide-in items from the oven. 2. Wash the oven floor with warm water and wa",True,TN,GROUNDED
34,prusa_3d-printer.pdf,What might happen if I accidentally release the end of the filament?,"If you accidentally release the end of the filament, it can easily twist and curl.",1,1,HALLUCINATION,0.3143,0.0408,0.6449,0.8362,"another tool. Some materials may emit a strong odor when printing - regularly ventilate the room. Handle the filament according to the instructions on the following pages of the handbook. Always ensure the end of the filament is properly secured—either inserted into the extruder or threaded through the spool hole. If you accidentally release the end of the filament, it can easily tangle and knot.",True,TP,HALLUCINATION
35,makita_drill.pdf,What is the rated voltage for the XFD12 model?,A.C. 18 V,1,0,GROUNDED,0.9435,0.0035,0.0529,0.7029,"ESPAÑOL ESPAÑOL (Instrucciones originales) ESPECIFICACIONES Modelo: XFD12 Capacidades de taladrado Acero 13 mm (1/2"") Madera 38 mm (1-1/2"") Capacidades de apriete Tornillo para madera 10 mm x 90 mm (3/8"" x 3-1/2"") Tornillo de máquina 6 mm (1/4"") Velocidad sin carga (rpm) Alta (2) 0 - 2 000 r/min Baja (1) 0 - 500 r/min Longitud total 172 mm (6-3/4"") Tensión nominal 18 V c.c. Cartucho de batería estándar BL1815N, BL1820B BL1830, BL1830B, BL1840B, BL1850B, BL1860B Peso neto 1,5 kg (3,4 lbs) 1,8 kg ",False,FN,GROUNDED
36,ford_mach_e.pdf,"What does the 'Pre-Collision Assist Not Available Sensor Blocked' message indicate, and how can it typically be resolved?","You have a blocked sensor due to bad weather, ice, mud or snow in front of the camera sensor. You can typically clean the sensor to resolve.",1,0,GROUNDED,0.9907,0.0022,0.0071,0.8321,"Assist Precautions (page 262). PRE-COLLISION ASSIST – INFORMATION MESSAGES Action Message You have a blocked sensor due to bad weather, ice, mud or water in front of the radar sensor. You can typically clean the sensor to resolve. Pre-Collision Assist Not Available Sensor Blocked A fault with the system has occurred. Have your vehicle checked as soon as possible. Pre-Collision Assist Not Available Mustang Mach-E (CGW) Canada/Mexico/Philippines/South Africa/United States of America, enUSA, Editio",False,FN,GROUNDED
37,hilti_hammer.pdf,"If the drill bit does not rotate, and the cause is that the function selector switch is not correctly engaged, is set to “Chiseling”, or is set to “Chisel positioning”, what action should be taken?",▶ Move the function selector switch to the “Hammer drilling” position while the motor is not rotating.,0,0,GROUNDED,0.9901,0.0016,0.0082,0.8556,The extension cord is too long and/or its gauge is inadequate. ▶Use an extension cord of an approved length and/or of adequate gauge. The control switch is not fully pressed. ▶Press the control switch as far as it will go. The voltage provided by the electric supply is too low. ▶Connect the combihammer to a different electric supply. The reduced-power (50% power) button is engaged. ▶Press the reduced-power button. The drill bit does not rotate. The function selector switch is not correctly engag,True,TN,GROUNDED
38,dyson_v12.pdf,What types of cleaning products are explicitly warned against using on the machine itself?,Don’t use detergents or polishes to clean your machine.,0,1,UNCERTAIN,0.0,1.0,0.0,0.6933022737503052,[UNSUPPORTED] max_sim=0.693 < threshold=0.7,False,FP,UNCERTAIN
39,electrolux_oven.pdf,What voltage and frequency is the oven EOB63100 designed to be connected to?,220-230V~(50Hz),1,1,UNCERTAIN,0.5389,0.0099,0.4512,0.8632,"electricity supply (mains), with a mini­ mum gap of 3 mm between the switch contacts and of a type suitable for the required load in compliance with the current regulations. The switch must not break the yellow and green earth cable at any point. Important After installation and connecting, the ca­ ble must be placed so that it cannot at any point reach a temperature of more than 50 °C above the ambient tempera­ ture. Before the oven is connected, check that the main fuse and the domestic in­ st",True,TP,UNCERTAIN_LEANING_GROUNDED
40,omron_monitor.pdf,How can a measurement be cancelled if needed while it is in progress?,press the O/I START button to turn off the unit and to release the air in the leg cuff.,1,1,UNCERTAIN,0.8232,0.0088,0.168,0.7408,"3. Using the Unit EN 2. Remove the arm cuff. 3. Press the O/I START button to turn off the monitor. The monitor automatically stores the measurement in its memory. It will automatically turn off after five minutes. Important: • Recent research suggests that the following values can be used as a guide to high blood pressure for measurements taken at home. This criteria is for home blood pressure measurement. For professional office blood pressure measurement criteria, please refer to Chapter 7. •",True,TP,UNCERTAIN_LEANING_GROUNDED
41,apple_watch.pdf,What is Taptic Time?,"When Apple Watch is in silent mode, it can tap out the time on your wrist with a series of distinct vibrations.",1,1,UNCERTAIN,0.688,0.0083,0.3037,0.8542,"Apple Watch User Guide Use Taptic Time When Apple Watch is in silent mode, it can tap out the time on your wrist with a series of distinct taps. 1. Open the Settings app on your Apple Watch. 2. Tap Clock, scroll up, then tap Taptic Time. 3. Turn on Taptic Time, then choose a setting—Digits, Terse, or Morse Code. • Digits: Apple Watch long taps for every 10 hours, short taps for each following hour, long taps for every 10 minutes, then short taps for each following minute. • Terse: Apple Watch lo",True,TP,UNCERTAIN_LEANING_GROUNDED
42,dewalt_saw.pdf,What should be used to clean dirt and dust from air vents?,"clean, dry air",0,0,GROUNDED,0.9925,0.001,0.0065,0.7257,"English Lubrication Self lubricating ball and roller bearings are used in the tool and relubrication is not required. However, it is recommended that, once a year, you take or send the tool to a service center for a thorough cleaning, inspection and lubrication of the gear case. Cleaning WARNING: Blow dirt and dust out of all air vents with clean, dry air at least once a week. To minimize the risk of eye injury, always wear ANSI Z87.1 approved eye protection when performing this procedure. WARNI",True,TN,GROUNDED
43,nintendo_2ds_xl.pdf,What's the maximum number of characters I can use for my nickname?,up to 10 characters,0,0,GROUNDED,0.9958,0.001,0.0033,0.7707,"After verifying it, touch Ok and proceed. Set the date and time. Tap the arrows to adjust the settings, then tap OK to confirm and move to the next option. Power LED Power Button Power On/Off and Basic Configuration Power On/Off and Basic Configuration Power On/Off and Basic Configuration Use the keyboard to enter a nickname or user name (page 18). You can enter up to 10 characters. Remember that other people using systems in the Nintendo 3DS family will see your nickname when interacting with t",True,TN,GROUNDED
44,hilti_hammer.pdf,What type of chuck is standard on the TE 60-AVR and TE 60-ATC/AVR models?,TE­X,1,1,HALLUCINATION,0.2728,0.0046,0.7226,0.7804,"warm, organization of work patterns. Detailed information on the versions of the EN 62841 standards applied here is to be found in the reproduction of the declaration of conformity 12. Noise information TE 60­AVR TE 60-ATC/AVR Sound power level (LWA) 107 dB(A) 111 dB(A) Uncertainty for the sound power level (KWA) 3 dB(A) 3 dB(A) Sound pressure level (LpA) 99 dB(A) 103 dB(A) Uncertainty for the sound pressure level (KpA) 3 dB(A) 3 dB(A) Total vibration TE 60­AVR TE 60-ATC/AVR Hammer drilling in c",True,TP,HALLUCINATION
45,makita_drill.pdf,What happens if the tool or battery is operated in a way that draws an abnormally high current?,the tool automatically stops without any indication.,0,0,GROUNDED,0.9922,0.0018,0.006,0.7562,"an abnormally high current, the tool automat- ically stops without any indication. In this situation, turn the tool off and stop the application that caused the tool to become overloaded. Then turn the tool on to restart. Overheat protection When the tool/battery is overheated, the tool stops automatically. In this situation, let the tool/battery cool before turning the tool on again. Overdischarge protection When the battery capacity is not enough, the tool stops automatically. In this case, re",True,TN,GROUNDED
46,tesla_model_s.pdf,What is the maximum continuous draw for the low voltage power outlet in the center console?,12A continuous draw (16A peak),0,0,GROUNDED,0.9839,0.0023,0.0138,0.7516,"Voltage Power Outlet Your Model S has a power outlet located in the center console's compartment. To access the low voltage outlet, open the front compartment of the center console. The power outlet is suitable for accessories requiring up to 12A continuous draw (16A peak). WARNING: The power outlet and an accessory’s connector can become hot. WARNING: To prevent excessive interference with the vehicle’s electronics, Tesla recommends that you do not plug any non-Tesla accessories, including powe",True,TN,GROUNDED
47,hilti_hammer.pdf,What is the rated power input for the TE 60-ATC/AVR model?,"1,420 W",1,1,UNCERTAIN,0.6589,0.0078,0.3333,0.8109,"warm, organization of work patterns. Detailed information on the versions of the EN 62841 standards applied here is to be found in the reproduction of the declaration of conformity 12. Noise information TE 60­AVR TE 60-ATC/AVR Sound power level (LWA) 107 dB(A) 111 dB(A) Uncertainty for the sound power level (KWA) 3 dB(A) 3 dB(A) Sound pressure level (LpA) 99 dB(A) 103 dB(A) Uncertainty for the sound pressure level (KpA) 3 dB(A) 3 dB(A) Total vibration TE 60­AVR TE 60-ATC/AVR Hammer drilling in c",True,TP,UNCERTAIN_LEANING_GROUNDED
