question_id,persona,doc_id,language,question_text,category,gt_answer_snippet,gt_page_number,_self_grounded,parsed_steps,passed_strict_check,ragas_faithfulness,ragas_correctness,judge_score,corrected_steps,procedural_comments,annotator_A_correctness,annotator_A_groundedness,annotator_A_quality,annotator_B_correctness,annotator_B_groundedness,annotator_B_quality,annotator_A_snippet_correctness,annotator_A_parsing_quality,annotator_B_snippet_correctness,annotator_B_parsing_quality
bosch_oven_Q049,Technician,bosch_oven.pdf,en,Describe the procedure for detaching the rails.,Procedural Step Inquiry,"1. Lift the rail slightly at the front ‚ and detach it ƒ\n(figure ! ).\n2. Then pull the whole rail towards you and take it out\n(figure  ).""",22,True,"['Lift the rail slightly at the front ‚ and detach it ƒ\n(figure ! ).', 'Then pull the whole rail towards you and take it out\n(figure ).']",False,1.0,0.9999994998,5,,,,,Clear & Usable,,,Clear & Usable,Partially Correct,Correctly Parsed,Partially Correct,Correctly Parsed
bosch_oven_Q059,SafetyOfficer,bosch_oven.pdf,en,What is the consequence if the seal is very dirty?,Conditional Logic/Causal Reasoning,"If the seal is very dirty, the\nappliance door will no longer close properly during\noperation. The fronts of adjacent units could be\ndamaged.",6,True,,False,1.0,0.9999995643,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
bosch_oven_Q062,SafetyOfficer,bosch_oven.pdf,en,What precaution should be taken regarding the appliance door during the cleaning function?,Safety Information Lookup,; The appliance will become very hot on the outside during the cleaning function. Never touch the appliance door. Allow the appliance to cool down. Keep children away from the appliance.,5,True,,True,1.0,0.9999990769,5,,,,,,,,,,,,
bosch_oven_Q065,Novice User,bosch_oven.pdf,en,What is the warranty period for this oven in Canada?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
bosch_oven_Q069,Technician,bosch_oven.pdf,en,What is the maximum permissible ambient operating temperature for this appliance?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
bosch_oven_Q072,Technician,bosch_oven.pdf,en,What is the permissible temperature range when utilizing the Sabbath mode?,Specification Lookup,between 85 °C and 140 °C,19,True,,True,1.0,0.9999996821,5,,,,,,,,,,,,
bosch_oven_Q075,Novice User,bosch_oven.pdf,en,What kind of baking tins are best for absorbing heat?,Tool/Material Identification,"dark, black lacquered or enamelled baking tins.",6,True,,True,1.0,1.0,5,,,,,,,,,,,,
bosch_oven_Q081,Technician,bosch_oven.pdf,en,Detail the standard procedure for configuring a specific heating type and temperature.,Procedural Step Inquiry,1. Set the type of heating using the rotary selector.\n\n2. Touch the } field.\nThe temperature is highlighted white in the display.\n3. Set the temperature using the rotary selector.\n\n\n4. Press the l Start/Stop button to start.,14,True,"['Set the type of heating using the rotary selector.', 'Touch the } field.\nThe temperature is highlighted white in the display.', 'Set the temperature using the rotary selector.', 'Press the l Start/Stop button to start.']",False,1.0,0.8124992106000001,5,,,,,Clear & Usable,,,Clear & Usable,Partially Correct,Correctly Parsed,Partially Correct,Correctly Parsed
bosch_oven_Q084,Novice User,bosch_oven.pdf,en,Where in the manual can I find out about 'Optional accessories'?,Location/Definition,Optional accessories . . . . . . . . . . . . . . . . . . .11,3,True,,False,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
bosch_oven_Q089,Novice User,bosch_oven.pdf,en,Is it okay for young children to use this oven by themselves?,Conditional Logic/Causal Reasoning,"This appliance may be used by children over the age of 8 years old and by persons with reduced physical, sensory or mental capabilities or by persons with a lack of experience or knowledge if they are supervised",4,False,,True,1.0,0.9999997515000001,5,,,,,,,,,,,,
bosch_oven_Q107,Technician,bosch_oven.pdf,en,What is the maximum settable cooking time for an operation?,Specification Lookup,The maximum setting is 23 hours and 59 minutes.,15,True,,True,1.0,0.9999996849,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
bosch_oven_Q113,Technician,bosch_oven.pdf,en,What are the specifications for the replacement halogen bulb for the cooking compartment light?,Tool/Material Identification,"Heat-resistant, 40 watt, 230 V halogen bulbs",26,True,,True,1.0,0.9999993303,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
bosch_oven_Q115,Technician,bosch_oven.pdf,en,"How is the ""EcoClean Direct"" cleaning function initiated on this oven?",Procedural Step Inquiry,1. Touch the u field.\n2. Confirm using the l Start/Stop button.\nA note appears relating to the preparations required\nfor the cleaning function.\n3. Press the l Start/Stop button to start.,21,True,"['Touch the u field.', 'Confirm using the l Start/Stop button. A note appears relating to the preparations required for the cleaning function.', 'Press the l Start/Stop button to start.']",False,1.0,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Partially Correct,Correctly Parsed,Partially Correct,Correctly Parsed
bosch_oven_Q121,Technician,bosch_oven.pdf,en,What information does the display ring provide when a setting value is being changed?,Location/Definition,"If you change a value, the display ring shows you where you are in the selection list.",8,True,,False,1.0,1.0,5,,,,,,,,,,,,
bosch_oven_Q123,Novice User,bosch_oven.pdf,en,What is the risk if greaseproof paper touches the heating element during preheating?,Conditional Logic/Causal Reasoning,Greaseproof paper may come into contact with the heating element and catch fire.,4,True,,True,1.0,0.9999997450000001,5,,,,,,,,,,,,
bosch_oven_Q131,SafetyOfficer,bosch_oven.pdf,en,What is the specified minimum safety distance from the control panel for individuals with electronic implants like pacemakers?,Safety Information Lookup,Wearers of electronic implants must stay at least 10 cm away from the control panel.,5,True,,True,1.0,1.0,5,,,,,,,,,,,,
bosch_oven_Q132,Technician,bosch_oven.pdf,en,What critical electrical safety measure must be performed before attempting to replace the cooking compartment bulb?,Safety Information Lookup,"Before replacing the bulb, unplug the appliance from the mains or switch off the circuit breaker in the fuse box.",5,True,,True,1.0,1.0,5,,,,,,,,,,,,
dewalt_saw_Q001,SafetyOfficer,dewalt_saw.pdf,en,What is the primary warning regarding the modification of this power tool or its parts?,Safety Information Lookup,Never modify the power tool or any part of it.,8,True,,True,1.0,1.0,5,,,,,,,,,,,,
dewalt_saw_Q003,Novice User,dewalt_saw.pdf,en,The manual mentions 'DANGER'. What level of hazard does this indicate if not avoided?,Safety Information Lookup,"Indicates an imminently hazardous situation which, if not avoided, will result in death or serious injury .",2,True,,False,1.0,0.9999996731,5,,,,,,,,,,,,
dewalt_saw_Q007,Novice User,dewalt_saw.pdf,en,What size circular saw blade is this tool designed for?,Specification Lookup,"7–1/4"" [178 mm] diameter",9,True,,True,1.0,1.0,5,,,,,,,,,,,,
dewalt_saw_Q008,Technician,dewalt_saw.pdf,en,What is the full range of bevel adjustment for this saw?,Specification Lookup,0° to 57°,10,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dewalt_saw_Q009,Technician,dewalt_saw.pdf,en,"For a 120V power supply and a cord length of 100 feet (30.5 meters) with an ampere rating between 10 and 12, what is the recommended American Wire Gauge for an extension cord?",Specification Lookup,14,8,True,,True,1.0,0.9999994017,5,,,,,,,,,,,,
dewalt_saw_Q015,Technician,dewalt_saw.pdf,en,"When replacing brushes, what specific type of replacement brushes should be used?",Tool/Material Identification,Use only identical D e WALT brushes.,12,True,,True,1.0,0.9999995918000001,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dewalt_saw_Q017,Technician,dewalt_saw.pdf,en,What are the steps to replace a worn blade on the circular saw?,Procedural Step Inquiry,"1. To loosen the blade clamping screw 10, depress the blade\nlock 3 and turn the saw spindle with the blade wrench 15,\nstored underneath the main handle 2, until the blade lock\nengages and the blade stops rotating. With the blade lock\nengaged, turn the blade clamping screw counterclockwise\nwith the blade wrench (screw has right-hand threads and\nmust be turned counterclockwise to loosen).\n2. Remove the blade clamping screw 10 and outer clamp\nwasher 14 . Remove old blade.\n3. Clean any sawdust that may have accumulated in the\nguard or clamp washer area and check the condition and\noperation of the lower blade guard as previously outlined.\nDo not lubricate this area.\n4. Select the proper blade for the application (refer to\n***Recommended Blade Types*** under Blades ). Always use\nblades that are the correct size (7–1/4"" [178 mm] diameter)\nwith the proper size and shape center hole for mounting\non the saw spindle. Always assure that the maximum\nrecommended speed (rpm) on the saw blade meets or\nexceeds the speed (rpm) of the saw.\n5. Follow steps 1 through 5 under To Install the Blade,\nmaking sure that the blade will rotate in the proper\ndirection.",9,True,"['To loosen the blade clamping screw 10, depress the blade lock 3 and turn the saw spindle with the blade wrench 15, stored underneath the main handle 2, until the blade lock engages and the blade stops rotating. With the blade lock engaged, turn the blade clamping screw counterclockwise with the blade wrench (screw has right-hand threads and must be turned counterclockwise to loosen).', 'Remove the blade clamping screw 10 and outer clamp washer 14 . Remove old blade.', 'Clean any sawdust that may have accumulated in the guard or clamp washer area and check the condition and operation of the lower blade guard as previously outlined. Do not lubricate this area.', 'Select the proper blade for the application (refer to ***Recommended Blade Types*** under Blades ). Always use blades that are the correct size (7–1/4"" [178 mm] diameter) with the proper size and shape center hole for mounting on the saw spindle. Always assure that the maximum recommended speed (rpm) on the saw blade meets or exceeds the speed (rpm) of the saw.', 'Follow steps 1 through 5 under To Install the Blade, making sure that the blade will rotate in the proper direction.']",False,0.9444444444000001,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
dewalt_saw_Q026,SafetyOfficer,dewalt_saw.pdf,en,What could happen if a dull blade is used for cutting?,Conditional Logic/Causal Reasoning,"A dull blade will\ncause slow inefficient cutting, overload on the saw motor,\nexcessive splintering, and could increase the possibility of\nkickback.",9,True,,False,1.0,0.9999997922,5,,,,,,,,,,,,
dewalt_saw_Q027,Technician,dewalt_saw.pdf,en,Under what circumstances might the lower blade guard operate sluggishly?,Conditional Logic/Causal Reasoning,"Lower guard may operate sluggishly due to damaged parts, gummy deposits, or a build-up of debris.",7,True,,False,1.0,0.9999998165,5,,,,,,,,,,,,
dewalt_saw_Q031,Novice User,dewalt_saw.pdf,en,What is the recommended cleaning agent for removing rust from the saw blade?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
dewalt_saw_Q040,Technician,dewalt_saw.pdf,en,What type of blades should be exclusively used with this saw?,Tool/Material Identification,Use only blades designed for wood cutting.,6,True,,True,1.0,0.9999995547,5,,,,,,,,,,,,
dewalt_saw_Q043,Technician,dewalt_saw.pdf,en,What should be used to clean dirt and dust from air vents?,Tool/Material Identification,"clean, dry air",11,True,,True,1.0,0.9999995356,5,,,,,,,,,,,,
dewalt_saw_Q045,Technician,dewalt_saw.pdf,en,How is the shoe adjusted for 90° cuts if additional adjustment is needed?,Procedural Step Inquiry,"1. Adjust the saw to 0° bevel.\n2. Retract the lower blade guard. Place the saw on blade side.\n3. Loosen bevel adjustment lever ( 6, Fig. H). Place a square against the blade and shoe to adjust the 90° setting.\n4. Turn the calibration screw ( 19, Fig. I) so that the shoe will stop at the proper angle.\n5. Confirm the accuracy of the setting by checking the squareness of an actual cut on a scrap piece of material.",10,True,"['Adjust the saw to 0° bevel.', 'Retract the lower blade guard. Place the saw on blade side.', 'Loosen bevel adjustment lever ( 6, Fig. H). Place a square against the blade and shoe to adjust the 90° setting.', 'Turn the calibration screw ( 19, Fig. I) so that the shoe will stop at the proper angle.', 'Confirm the accuracy of the setting by checking the squareness of an actual cut on a scrap piece of material.']",False,1.0,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
dewalt_saw_Q048,Novice User,dewalt_saw.pdf,en,What is part number 2 on the saw diagram (Fig. A)?,Location/Definition,Main handle,1,True,,True,1.0,0.9999997649000001,5,,,,,,,,,,,,
dewalt_saw_Q049,Technician,dewalt_saw.pdf,en,Identify component 6 as labelled in Figure A.,Location/Definition,Bevel adjustment lever,1,True,,True,1.0,0.9999995311000001,5,,,,,,,,,,,,
dewalt_saw_Q052,Technician,dewalt_saw.pdf,en,What does the symbol 'V' on the tool label signify?,Location/Definition,volts,8,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dewalt_saw_Q053,SafetyOfficer,dewalt_saw.pdf,en,What is the potential outcome if a practice highlighted by a 'NOTICE' is not avoided?,Conditional Logic/Causal Reasoning,may result in property damage .,2,True,,False,1.0,0.9999997619000001,5,,,,,,,,,,,,
dewalt_saw_Q058,SafetyOfficer,dewalt_saw.pdf,en,What specific warning is provided regarding the use of abrasive wheels with this saw?,Safety Information Lookup,• DO NOT use any abrasive wheels.,6,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dewalt_saw_Q065,SafetyOfficer,dewalt_saw.pdf,en,What is the maximum permissible ambient temperature for operating this saw?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
dewalt_saw_Q068,Novice User,dewalt_saw.pdf,en,"What is component number 9 on the saw's diagram, as shown in Figure A?",Location/Definition,Lower blade guard,1,True,,True,1.0,1.0,5,,,,,,,,,,,,
dewalt_saw_Q085,Novice User,dewalt_saw.pdf,en,How do I change how deep the saw cuts?,Procedural Step Inquiry,"1. Hold the saw firmly. Raise the depth adjustment lever 16 to loosen and move foot plate to obtain the desired depth of cut, as shown. Make sure the depth adjustment lever has been retightened (lowered) before operating the saw.\n2. Align the appropriate mark on the depth adjustment strap 17 with notch 18 on the upper blade guard. Your depth is set.",10,True,"['Hold the saw firmly. Raise the depth adjustment lever 16 to loosen and move foot plate to obtain the desired depth of cut, as shown. Make sure the depth adjustment lever has been retightened (lowered) before operating the saw.', 'Align the appropriate mark on the depth adjustment strap 17 with notch 18 on the upper blade guard. Your depth is set.']",False,1.0,1.0,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
dewalt_saw_Q091,Technician,dewalt_saw.pdf,en,"For the DWE575SB model, what is the designed stopping time for the blade due to the electric brake after trigger release?",Specification Lookup,about two seconds,11,True,,True,1.0,1.0,5,,,,,,,,,,,,
dewalt_saw_Q092,Technician,dewalt_saw.pdf,en,What type of replacement carbon brushes must be used for this tool?,Tool/Material Identification,Use only identical D e WALT brushes.,12,True,,True,1.0,0.9999995918000001,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dewalt_saw_Q093,Novice User,dewalt_saw.pdf,en,How do I attach the dust port if I bought one?,Procedural Step Inquiry,1. Align the dust port 23 over upper blade guard 12 as shown.\n2. Insert two dust port screws 24 as shown and tighten securely.,12,True,"['Align the dust port 23 over upper blade guard 12 as shown.', 'Insert two dust port screws 24 as shown and tighten securely.']",False,1.0,0.9999996995,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
dewalt_saw_Q098,Technician,dewalt_saw.pdf,en,What is the DeWalt part number for a replacement blade clamping screw (item 10 in Fig. A)?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
dewalt_saw_Q101,Technician,dewalt_saw.pdf,en,What is the rated sound power level or sound pressure level (in decibels) for the DWE575SB model during operation?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
dewalt_saw_Q105,Novice User,dewalt_saw.pdf,en,How far can I tilt the saw for angled cuts?,Specification Lookup,0° to 57°,10,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dewalt_saw_Q110,Technician,dewalt_saw.pdf,en,What type of replacement brushes are stipulated for this tool?,Tool/Material Identification,Use only identical D e WALT brushes.,12,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dewalt_saw_Q115,Technician,dewalt_saw.pdf,en,How should a pocket cut be performed with this circular saw?,Procedural Step Inquiry,"1. Adjust the saw shoe so the blade cuts at desired depth.\n2. Tilt the saw forward and rest front of the shoe on\nmaterial to be cut.\n3. Using the lower blade guard retracting lever, retract the\nlower blade guard to an upward position. Lower the rear of\nthe shoe until the blade teeth almost touch the cutting line.\n4. Release the lower blade guard (its contact with the work\nwill keep it in position to open freely as you start the cut).\nRemove your hand from the lower blade guard retracting\nlever and firmly grip the auxiliary handle 5, as shown in\nFigure Q. Position your body and arm to allow you to resist\nkickback if it occurs.\n5. Make sure blade is not in contact with cutting surface\nbefore starting saw.\n6. Start the motor and gradually lower the saw until its shoe\nrests flat on the material to be cut. Advance saw along the\ncutting line until cut is completed.\n7. Release the trigger switch and allow the blade to stop\ncompletely before withdrawing the blade from the material.\n8. When starting each new cut, repeat the above steps.",11,True,"['Adjust the saw shoe so the blade cuts at desired depth.', 'Tilt the saw forward and rest front of the shoe on material to be cut.', 'Using the lower blade guard retracting lever, retract the lower blade guard to an upward position. Lower the rear of the shoe until the blade teeth almost touch the cutting line.', 'Release the lower blade guard (its contact with the work will keep it in position to open freely as you start the cut). Remove your hand from the lower blade guard retracting lever and firmly grip the auxiliary handle 5, as shown in Figure Q. Position your body and arm to allow you to resist kickback if it occurs.', 'Make sure blade is not in contact with cutting surface before starting saw.', 'Start the motor and gradually lower the saw until its shoe rests flat on the material to be cut. Advance saw along the cutting line until cut is completed.', 'Release the trigger switch and allow the blade to stop completely before withdrawing the blade from the material.', 'When starting each new cut, repeat the above steps.']",False,1.0,0.9999442955000001,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
dewalt_saw_Q117,Novice User,dewalt_saw.pdf,en,What does the label '1' point to on the main diagram of the saw?,Location/Definition,Trigger switch,1,True,,True,1.0,1.0,5,,,,,,,,,,,,
dewalt_saw_Q122,SafetyOfficer,dewalt_saw.pdf,en,"What hazard is created by operating power tools in environments with flammable liquids, gases, or dust?",Conditional Logic/Causal Reasoning,Power tools create sparks which may ignite the dust or fumes.,6,True,,False,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dewalt_saw_Q123,SafetyOfficer,dewalt_saw.pdf,en,What is 'kickback' and what causes it generally?,Conditional Logic/Causal Reasoning,"Kickback is a sudden reaction to a pinched, jammed or misaligned saw blade, causing an uncontrolled saw to lift up and out of the workpiece toward the operator",7,True,,False,1.0,1.0,5,,,,,,,,,,,,
dewalt_saw_Q129,SafetyOfficer,dewalt_saw.pdf,en,What specific standard must eye protection meet for all users and bystanders?,Safety Information Lookup,ANSI Z87.1 eye protection (CAN/CSA Z94.3),8,True,,True,1.0,1.0,5,,,,,,,,,,,,
dewalt_saw_Q130,SafetyOfficer,dewalt_saw.pdf,en,Under what circumstances concerning the lower guard is it unsafe to use the saw?,Safety Information Lookup,Do not operate the saw if the lower guard does not move freely and close instantly.,7,True,,False,1.0,1.0,5,,,,,,,,,,,,
dewalt_saw_Q135,Technician,dewalt_saw.pdf,en,What is the recommended cleaning solvent for removing resin buildup from the metallic parts of the saw blade and guards?,Unanswerable,Not Answered,None,False,,True,-1.0,-1.0,-1,,,,,,,,,,,,
dyson_v12_Q001,Technician,dyson_v12.pdf,en,What is the display reading when the battery is fully charged?,Specification Lookup,100%,6,True,,True,1.0,0.9999996521000001,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
dyson_v12_Q003,Technician,dyson_v12.pdf,en,What is the lowest ambient temperature at which the machine will operate or charge?,Specification Lookup,5°C(41°F),13,True,,True,1.0,1.0,5,,,,,,,,,,,,
dyson_v12_Q006,Novice User,dyson_v12.pdf,en,What should I use to clean the dust bin?,Tool/Material Identification,a damp cloth,7,True,,True,1.0,1.0,5,,,,,,,,,,,,
dyson_v12_Q007,Technician,dyson_v12.pdf,en,What kind of cloth is specified for cleaning the laser lens on the Laser Slim Fluffy™ cleaner head?,Tool/Material Identification,"a soft, dry, lint-free cloth",10,True,,True,1.0,0.999999509,5,,,,,,,,,,,,
dyson_v12_Q011,Novice User,dyson_v12.pdf,en,How do I empty the bin once the wand is removed?,Procedural Step Inquiry,"Hold the machine over the bin, pointing downwards.\n\nFirmly push the red bin release button. The bin will slide down, cleaning the shroud\nas it goes, and the bin base will open.",7,True,"['Hold the machine over the bin, pointing downwards.', 'Firmly push the red bin release button. The bin will slide down, cleaning the shroud as it goes, and the bin base will open.']",False,1.0,0.9999997945,5,,,,,Clear & Usable,,,Clear & Usable,Correct,Correctly Parsed,Correct,Correctly Parsed
dyson_v12_Q013,Technician,dyson_v12.pdf,en,What is the correct procedure for re-installing the Laser Slim Fluffy™ brush bar after cleaning and drying?,Procedural Step Inquiry,Reattach the end cap to your brush bar.\n\nSlide your brush bar into the cleaner head. Push the end cap back down to\nthe closed position.,10,True,"['Reattach the end cap to your brush bar.', 'Slide your brush bar into the cleaner head.', 'Push the end cap back down to the closed position.']",False,1.0,0.9999996635,5,,,,,Clear & Usable,,,Clear & Usable,Partially Correct,Correctly Parsed,Partially Correct,Correctly Parsed
dyson_v12_Q017,Novice User,dyson_v12.pdf,en,What does the 'Filter' alert on the screen mean?,Location/Definition,"Filter – the filter isn’t fitted correctly, or needs cleaning.",5,True,,True,1.0,0.9999997087,5,,,,,,,,,,,,
dyson_v12_Q018,Novice User,dyson_v12.pdf,en,What problem does the 'Blockage' alert indicate?,Location/Definition,Blockage – your machine has a blockage that needs removing.,5,True,,True,1.0,0.9999997579000001,5,,,,,,,,,,,,
dyson_v12_Q024,Technician,dyson_v12.pdf,en,Under what specific condition will the bin base fail to open during the emptying process?,Conditional Logic/Causal Reasoning,The bin base won’t open if the red bin release button isn’t pushed down all the way.,7,True,,True,1.0,0.9999996085,5,,,,,,,,,,,,
dyson_v12_Q025,Novice User,dyson_v12.pdf,en,Which power modes are recommended for maximizing battery life and performance?,Conditional Logic/Causal Reasoning,Eco or Auto/Med mode.,5,True,,True,1.0,1.0,5,,,,,,,,,,,,
dyson_v12_Q026,SafetyOfficer,dyson_v12.pdf,en,What crucial safety instruction relates to the trigger and potential sharp objects when inspecting for blockages?,Safety Information Lookup,Be careful not to touch the trigger and be aware of sharp objects.,8,True,,True,1.0,1.0,5,,,,,,,,,,,,
dyson_v12_Q028,SafetyOfficer,dyson_v12.pdf,en,What undesirable outcome might occur if a rotating brush bar is used on incompatible carpet types?,Safety Information Lookup,Some carpets will fuzz if a rotating brush bar is used when vacuuming.,6,True,,True,1.0,1.0,5,,,Correct,Fully Grounded,Clear & Usable,Correct,Fully Grounded,Clear & Usable,,,,
